"Evidence_ID","Scope","Org_ID","Executor","Execution_Time","Query_or_Setup_Check","Row_Count","Protected_Output","Masked","Finding","Risk","Related_Manifest_Items","Reviewer","Review_Status"
"R01","Account lifecycle profile","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T13:46:15+08:00","Status/type distributions and Account inventory","52","C:\WorkSpace\CBS-A-IMP-03-runtime-private\raw\R01-*","Yes","Accounts=52; Missing Client Code=49; Missing notification=47; Missing owner=0","Lifecycle population requires owner review","A03-001,A03-002,A03-P09","","PASS - FINDINGS TRANSFERRED"
"R02","Duplicate Client Code","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T13:46:15+08:00","Offline trim/case normalisation of read-only Account export","0","C:\WorkSpace\CBS-A-IMP-03-Remote\cursor-output\runtime-evidence\masked-review\R02-normalised-duplicates-masked.csv","Yes","Normalised duplicate groups=0","Uniqueness remains gated until approved disposition","A03-001","","PASS"
"R03","Existing Account baseline","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T13:46:15+08:00","Account joined offline to R04-R08 evidence","52","cursor-output/decision-registers/05_existing_account_baseline_decision_register.csv","Yes","One masked decision row per Account; all decisions pending business owner","No existing Account is automatically approved","A03-001,A03-002,A03-008,A03-P09","","PASS - TRANSFERRED TO STEP 7"
"R04","Opportunity prerequisite","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T13:46:15+08:00","Opportunity by Account and StageName","0","C:\WorkSpace\CBS-A-IMP-03-Remote\cursor-output\runtime-evidence\masked-review\R04-opportunities-masked.csv","Yes","Opportunities=0; Closed Won=0","Per-Account prerequisite remains Flow design input","A03-013,A03-015","","PASS - NO DATA"
"R05","Contract readiness","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T13:46:15+08:00","Contract status/date/term inventory","0","C:\WorkSpace\CBS-A-IMP-03-Remote\cursor-output\runtime-evidence\masked-review\R05-contracts-masked.csv","Yes","Contracts=0","Business validity still requires review","A03-013,A03-015","","PASS - NO DATA"
"R06","Contract Files","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T13:46:15+08:00","ContentDocumentLink for Contract IDs from R05","0","C:\WorkSpace\CBS-A-IMP-03-Remote\cursor-output\runtime-evidence\masked-review\R06-contract-files-masked.csv","Yes","Contract file links=0; titles masked","Signed/executed meaning requires business verification","A03-015","","PASS - NO DATA"
"R07","Existing Task usage","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T13:46:15+08:00","Task Type/Status aggregate and onboarding/client subject search","0","C:\WorkSpace\CBS-A-IMP-03-Remote\cursor-output\runtime-evidence\masked-review\R07-*","Yes","Onboarding/client-like Tasks=0; aggregate rows=0","Collision/idempotency design review required","A03-005,A03-012,A03-013,A03-014,A03-P03","","PASS - FINDINGS TRANSFERRED"
"R08","External Users","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T13:46:15+08:00","Active Users with Contact and Account","2","C:\WorkSpace\CBS-A-IMP-03-Remote\cursor-output\runtime-evidence\masked-review\R08-active-external-users-masked.csv","Yes","Active external linked Users=2","Existing access requires Account baseline decision","A03-P09,A03-P10","","PASS - POLICY RECORDED"
"R09","Roles permissions queues approvers","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T13:46:15+08:00","Roles, CBS permission assignments, queues, queue objects, active admin candidates","21","C:\WorkSpace\CBS-A-IMP-03-Remote\cursor-output\runtime-evidence\masked-review\R09-*","Yes","Roles=5; CBS assignments=12; queues=1; admin candidates=2","Named checker and maker-checker routing require approval","A03-006,A03-008,A03-009,A03-015,A03-016","","PASS - QUEUE POLICY RECORDED"
"R10","Feature and capacity","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T13:46:15+08:00","Tooling FlowDefinition/FieldDefinition plus licence and notification inventories","85","C:\WorkSpace\CBS-A-IMP-03-Remote\cursor-output\runtime-evidence\masked-review\R10-*","Yes","Flow definitions=8; Account tracked-history fields=0; licences=11; notification types=0","Flow Approval Process availability/routing still requires Setup/metadata confirmation if query unavailable","A03-003-A03-016,A03-P01-A03-P07","","PASS - FINDINGS TRANSFERRED TO STEP 8"
"R11","Automation configuration drift","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T14:41:31+08:00","Fresh metadata retrieve, targeted retrieve and semantic disposition","0","cursor-output/runtime-evidence/R11_R12_step6_rerun_checks.csv","Yes","Fresh full+targeted rerun; unexplained drift=0; one changed Site.com binary excluded by approved scope decision; all approved A-IMP-02 states matched","No unexplained automation/configuration drift remains for Step 6","A03-013-A03-016,A03-P10","","PASS"
"R12","Latest baseline comparison","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-21T14:41:31+08:00","Fresh retrieve/hash/diff plus semantic path-level disposition","10","cursor-output/runtime-evidence/R11_R12_step6_rerun_checks.csv","Yes","Rebase current; approved A-IMP-02 2/2, A-IMP-08 26/26, queue and scope decisions verified","Cross-workstream source implementation remains separately controlled; Step 6 evidence gate has no unexplained drift","ALL","","PASS"
