"Check_ID","Result","Evidence"
"REB01","PASS","A-IMP-03 HEAD=ed2f984c8b0e0afcb3308a09a5eccdba5daa5916; A-IMP-02 tip=ed2f984c8b0e0afcb3308a09a5eccdba5daa5916"
"ORG01","PASS","Fresh query confirmed Org 00DBK00000C9kEP2AZ, IsSandbox=true"
"DRIFT01","PASS","Raw differences=1; approved excluded Site.com differences=1; unexplained differences=0"
"AIMP02-01","PASS","Targeted A-IMP-02 components matching branch baseline=5/5"
"AIMP02-02","PASS","Approved Sandbox activeVersionNumber=6"
"AIMP02-03","PASS","Approved Sandbox layout identity-field entries=0"
"QUEUE01","PASS","Approved active user membership and Case queue assignment present"
"AIMP08-01","PASS","Approved Profile FLS rows=26/26"
"SCOPE01","PASS","Site.com excluded by approved A-IMP-03 scope decision"
"SAFETY01","PASS","No DML, deployment, activation or force-app source modification performed"
