"ContactToken","RecordTypeDeveloperName","AccountToken","EmailToken","Portal_Role__c","Can_Approve__c","Is_Active_Client_User__c"
"CONTACT:02016a4ceaca0b7d","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:d5b603185ac64b65","HR","False","True"
"CONTACT:a434fd3058519bfe","Non_Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:620629b48605e28e","HR","False","False"
"CONTACT:6ce065b9a9723874","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:90749ba0fb87502f","HR","False","False"
"CONTACT:a1f9491b0212ed03","Singpass","ACCOUNT:35889e5d53941f64","EMAIL:66787d7b95482480","Approver","False","False"
"CONTACT:5f3fe05fcebd7170","Singpass","ACCOUNT:d6bd85274c8032d5","EMAIL:510bca48be51f8d9","Approver","False","False"
"CONTACT:2fc9d22011e16dd4","Singpass","ACCOUNT:1409fd68f6ca2e3b","EMAIL:6bc019b17b4f8276","Approver","False","False"
"CONTACT:3529c9b1a3179a5d","Singpass","ACCOUNT:7b908096a0b5a6aa","EMAIL:8205951f2f521e47","Approver","False","False"
"CONTACT:09a0b20f3c7df4ff","Singpass","ACCOUNT:01e0c466ba6cc9b3","EMAIL:a6ec24c66a59fb6d","Approver","False","False"
"CONTACT:15b69cd6893f0b28","Singpass","ACCOUNT:292c575511bca201","EMAIL:9504557f205107ac","Approver","False","False"
"CONTACT:19aca7e36db9a19d","Singpass","ACCOUNT:c2f930a5eda152b4","EMAIL:2e4a813e90fb472c","Approver","False","False"
"CONTACT:c589a05a1608ec7e","Singpass","ACCOUNT:129d8825dce4576a","EMAIL:41805030da8bfd6b","Approver","False","False"
"CONTACT:8ad0bd5aba4a2546","Singpass","ACCOUNT:9d49fefe10d3db30","EMAIL:79aa460ec20c0252","Approver","False","False"
"CONTACT:6c251497ddb702d1","Singpass","ACCOUNT:8fc3a76fffd1dec0","EMAIL:ea3d6e135088a3c9","Approver","False","False"
"CONTACT:83a8bd88c8688a53","Singpass","ACCOUNT:bbf262af34c231cb","EMAIL:4bf809444ecbae65","Approver","False","False"
"CONTACT:39309d626ee2e793","Singpass","ACCOUNT:2a764643fdbcecd0","EMAIL:c477389c9b633ce4","Approver","False","False"
"CONTACT:da1942247ab9e71a","Singpass","ACCOUNT:c16c7d26204ac456","EMAIL:02b60a17e59401ef","Approver","False","False"
"CONTACT:a19b42d09c650b35","Singpass","ACCOUNT:2ec4e7416fea116b","EMAIL:9d588ddc558acd8c","Approver","False","False"
"CONTACT:d108696fd98a9954","Singpass","ACCOUNT:71ddc5fb7e23d1af","EMAIL:0a2e836d45a92472","Approver","False","False"
"CONTACT:533f4add333500b5","Singpass","ACCOUNT:d40bdc6c91db228e","EMAIL:4ddf35edba2b6e93","Approver","False","False"
"CONTACT:63e522e302f9562e","Singpass","ACCOUNT:999e3ab792edb9b7","EMAIL:086592a2ac524518","Approver","False","False"
"CONTACT:610b9ba56ee1d06d","Singpass","ACCOUNT:9cc4391155786ebe","EMAIL:d67071b1d9756c2b","Approver","False","False"
"CONTACT:ff10f6fcdf09305a","Singpass","ACCOUNT:94f2d3236a1871b7","EMAIL:b0e0747594c5f49f","Approver","False","False"
"CONTACT:1e05de97a466ccf0","Singpass","ACCOUNT:12c9739cf43ac1be","EMAIL:e618f6f431222e1f","Approver","False","False"
"CONTACT:bb3100733c452783","Singpass","ACCOUNT:3afd39c385c74a37","EMAIL:84d1c25105bba97b","Approver","False","False"
"CONTACT:a072a2c02cdf72f0","Singpass","ACCOUNT:4564b11b9dd906b7","EMAIL:9052e6af43819117","Approver","False","False"
"CONTACT:ca97ff554f86818f","Singpass","ACCOUNT:adc2fb8fc239691d","EMAIL:27887602367f5b41","Approver","False","False"
"CONTACT:7cca6fd78ecfb422","Singpass","ACCOUNT:f72dc6efd4ee08a6","EMAIL:cfb5fc2bf2d21859","Approver","False","False"
"CONTACT:7d9abc2463244b98","Singpass","ACCOUNT:04f09d10360f43a0","EMAIL:200252c3835f52f9","Approver","False","False"
"CONTACT:04c40c87dd520a3a","Singpass","ACCOUNT:04f09d10360f43a0","EMAIL:0a950569ba950111","Approver","False","False"
"CONTACT:c29fa4856b9cdaa7","Singpass","ACCOUNT:04f09d10360f43a0","EMAIL:53e2f8f361f31b25","Approver","False","False"
"CONTACT:fd7d1b3755d00f88","Singpass","ACCOUNT:04f09d10360f43a0","EMAIL:0f307343265889ad","Approver","False","False"
"CONTACT:1db5cfc89d5e2294","Singpass","ACCOUNT:91f535d3d69cde1c","EMAIL:eb9b21d637c410f9","Approver","False","False"
"CONTACT:63549d054a0f565b","Singpass","ACCOUNT:91f535d3d69cde1c","EMAIL:7c35a73f15562432","Approver","False","False"
"CONTACT:296d60779a7f68b2","Singpass","ACCOUNT:91f535d3d69cde1c","EMAIL:e48e0df65a3b79ee","Approver","False","False"
"CONTACT:80e3891266668695","Singpass","ACCOUNT:91f535d3d69cde1c","EMAIL:d9fec0a8efe380b3","Approver","False","False"
"CONTACT:0c7fa599185ac0ee","Singpass","ACCOUNT:91f535d3d69cde1c","EMAIL:eab69b6bbc37922e","Approver","False","False"
"CONTACT:4d39e3a65832b064","Singpass","ACCOUNT:f61e47beba1e313f","EMAIL:7c34497775f33dc3","Approver","False","False"
"CONTACT:dfc74db71372cdb3","Singpass","ACCOUNT:f61e47beba1e313f","EMAIL:906923f2f05a318a","Approver","False","False"
"CONTACT:ba0ae05ac5b8ea32","Singpass","ACCOUNT:f61e47beba1e313f","EMAIL:e104cdc4b0b65536","Approver","False","False"
"CONTACT:04005049696dd350","Singpass","ACCOUNT:f61e47beba1e313f","EMAIL:ac200a14a3c26e52","Approver","False","False"
"CONTACT:f881f862e178b375","Singpass","ACCOUNT:779704b86c92451a","EMAIL:a32d66b26176eea7","Approver","False","False"
"CONTACT:33ee44e3b4974217","Singpass","ACCOUNT:779704b86c92451a","EMAIL:c8493549efe148db","Approver","False","False"
"CONTACT:037b401c87685f46","Singpass","ACCOUNT:779704b86c92451a","EMAIL:693f9c43f5533a81","Approver","False","False"
"CONTACT:24907434096f64b3","Singpass","ACCOUNT:779704b86c92451a","EMAIL:55eb6533a13840bf","Approver","False","False"
"CONTACT:f622525d6336122e","Singpass","ACCOUNT:704ffb4c9eba5498","EMAIL:e9b3b86e19f3726b","Approver","False","False"
"CONTACT:42adcf8084a9373e","Singpass","ACCOUNT:704ffb4c9eba5498","EMAIL:2882250e4ee44277","Approver","False","False"
"CONTACT:b7d23d6f009aa475","Singpass","ACCOUNT:704ffb4c9eba5498","EMAIL:1e757f5aaa3542fd","Approver","False","False"
"CONTACT:1072a03bd44478d7","Singpass","ACCOUNT:704ffb4c9eba5498","EMAIL:c87d080d61f8b097","Approver","False","False"
"CONTACT:c9ec66a7e096d0fe","Singpass","ACCOUNT:704ffb4c9eba5498","EMAIL:ac7b466fd16c9b24","Approver","False","False"
"CONTACT:0bfc06d6552e097a","Singpass","ACCOUNT:a112928b69e525b3","EMAIL:6f7ca592ef0be828","Approver","False","False"
"CONTACT:7547ab2aa1ea3b0a","Singpass","ACCOUNT:a112928b69e525b3","EMAIL:74c0beafaa5a81ce","Approver","False","False"
"CONTACT:d4ef7d8e9ab0641a","Singpass","ACCOUNT:a112928b69e525b3","EMAIL:e7391be7d2675d0f","Approver","False","False"
"CONTACT:3495aa5212370ebc","Singpass","ACCOUNT:a112928b69e525b3","EMAIL:34106b1a65ff4db4","Approver","False","False"
"CONTACT:eebec0742e94289c","Singpass","ACCOUNT:bf439508c1b7ae24","EMAIL:1288d628042b3528","Approver","False","False"
"CONTACT:1513bffffb465c25","Singpass","ACCOUNT:bf439508c1b7ae24","EMAIL:49ba2a79d62f7f0a","Approver","False","False"
"CONTACT:f66cfb27dcd6a773","Singpass","ACCOUNT:bf439508c1b7ae24","EMAIL:9aa889ea1131fcf6","Approver","False","False"
"CONTACT:54e2809d303886a1","Singpass","ACCOUNT:bf439508c1b7ae24","EMAIL:4d90b98ea0574819","Approver","False","False"
"CONTACT:c80e87ade55976ef","Singpass","ACCOUNT:b9d8e13b8b78a480","EMAIL:aa75d9a9c1fc5141","Approver","False","False"
"CONTACT:f73c1085580d5612","Singpass","ACCOUNT:b9d8e13b8b78a480","EMAIL:c787c6295492c1d9","Approver","False","False"
"CONTACT:8a8f751f302eb72d","Singpass","ACCOUNT:b9d8e13b8b78a480","EMAIL:f751c68b04e27fb7","Approver","False","False"
"CONTACT:93da96715ba3aaaf","Singpass","ACCOUNT:b9d8e13b8b78a480","EMAIL:b505754306d2ab19","Approver","False","False"
"CONTACT:4e8a970a47e7d38a","Singpass","ACCOUNT:cf31068347580b06","EMAIL:eb9b21d637c410f9","Approver","False","False"
"CONTACT:b679143a1f472faa","Singpass","ACCOUNT:cf31068347580b06","EMAIL:7c35a73f15562432","Approver","False","False"
"CONTACT:09db294d20a5a93b","Singpass","ACCOUNT:cf31068347580b06","EMAIL:e48e0df65a3b79ee","Approver","False","False"
"CONTACT:ed2bda75a6fa8b22","Singpass","ACCOUNT:cf31068347580b06","EMAIL:d9fec0a8efe380b3","Approver","False","False"
"CONTACT:53fd72fb04332625","Singpass","ACCOUNT:cf31068347580b06","EMAIL:eab69b6bbc37922e","Approver","False","False"
"CONTACT:9f7a34752c85af69","Singpass","ACCOUNT:349f9f0dbd3df173","EMAIL:daf992d4666345ff","Approver","False","False"
"CONTACT:94dd194e42a7d84f","Singpass","ACCOUNT:349f9f0dbd3df173","EMAIL:bf3b8f5cdcd34f8d","Subject","False","False"
"CONTACT:4a778f082d090999","Singpass","ACCOUNT:349f9f0dbd3df173","EMAIL:be8e2275e3669695","Subject","False","False"
"CONTACT:e26d05a470368377","Singpass","ACCOUNT:07ff886ceb4688ff","EMAIL:49edf789b0324663","Approver","False","False"
"CONTACT:d5af24cbd94941e0","Singpass","ACCOUNT:07ff886ceb4688ff","EMAIL:e280fc5b633d648c","Subject","False","False"
"CONTACT:49250ac352a47b77","Singpass","ACCOUNT:901b28a9b096504e","EMAIL:69de5762f106da5b","HR","False","False"
"CONTACT:212fd282fb392629","Data_Subject","ACCOUNT:901b28a9b096504e","EMAIL:fd00fdd126534dce","HR","False","True"
"CONTACT:686c9941408a8314","Singpass","ACCOUNT:4a1a9314ff98e22f","EMAIL:8822ed18db9b61ec","Approver","False","False"
"CONTACT:66022ee4dc4de868","Singpass","ACCOUNT:d0bc10bece3f662e","EMAIL:bb0c0ba5dba2243c","Approver","False","False"
"CONTACT:5a00519bebc95bdd","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:08ae5388fe33185e","Subject","False","False"
"CONTACT:551ffc41b8189fbd","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:b58fb8d79550671b","Subject","False","False"
"CONTACT:9c9d4feb8ed988e8","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:98d302276a6ce72f","Subject","False","False"
"CONTACT:7853ce44742ed927","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:ee740b018182cbc5","Subject","False","False"
"CONTACT:1f8018719d701c29","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:76666b93559cf365","Subject","False","False"
"CONTACT:0834a2faa1c8827c","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:f331aea49701ebf9","Subject","False","False"
"CONTACT:d1f24d0cee896c67","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:b9e6b5bc1dff7121","Subject","False","False"
"CONTACT:dee3eb26affc7984","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:27bc1de24f9e502c","Subject","False","False"
"CONTACT:66475755645eb472","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:582f09a8a153077a","Subject","False","False"
"CONTACT:4c4404ece82af50d","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:cf33209fe8e9d3f4","Subject","False","False"
"CONTACT:e43ec88fc255b5c3","Singpass","ACCOUNT:19ab2ea76cf18f81","EMAIL:022ef6d7efec7ff3","Approver","False","False"
"CONTACT:bc5ad922f1dfcf39","Singpass","ACCOUNT:19ab2ea76cf18f81","EMAIL:c92bceaf66338f85","Approver","False","False"
"CONTACT:9118a321ed16441b","Singpass","ACCOUNT:19ab2ea76cf18f81","EMAIL:7d88c859f4770a72","Approver","False","False"
"CONTACT:99f5c2557d7ad86f","Singpass","ACCOUNT:8feedf38fee5629d","EMAIL:07eca1aca8ceb03e","Approver","False","False"
"CONTACT:a9108b99db9033cb","Singpass","ACCOUNT:8feedf38fee5629d","EMAIL:de65e0a56d74d9c9","Approver","False","False"
"CONTACT:685f98f9d31eefc3","Singpass","ACCOUNT:8feedf38fee5629d","EMAIL:18e0a5507414a012","Approver","False","False"
"CONTACT:129a1d9b552b899f","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:dac9a2ba810e57d4","Subject","False","False"
"CONTACT:665d7645be98dd25","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:8ae5f2b237dbe816","Subject","False","False"
"CONTACT:c91ed0e03a4346bb","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:fa26e89cfa2282b8","Subject","False","False"
"CONTACT:044323a2f144dd0d","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:f4f3590ef5ecc715","Subject","False","False"
"CONTACT:44573c3192a09a2d","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:d7ec684d720eadc8","Subject","False","False"
"CONTACT:fd73e4c6eef708cd","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:4174bd5e3ff40014","Subject","False","False"
"CONTACT:15865f254e0a3a06","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:7d39354a2807a10d","Subject","False","False"
"CONTACT:c3a6777ce833a0e9","Singpass","ACCOUNT:0ccf5d877077f67a","EMAIL:52229395a63a10ce","Subject","False","False"
"CONTACT:a90fc18393bd0ac6","Singpass","ACCOUNT:c138f7e7f39272e1","EMAIL:d807217e40fb7a52","Approver","False","False"
"CONTACT:c0953dc897c9e09f","Singpass","ACCOUNT:c138f7e7f39272e1","EMAIL:47f82ef50f8a5676","Subject","False","False"
"CONTACT:e94c82aea5ff4814","Singpass","ACCOUNT:c138f7e7f39272e1","EMAIL:0ce110f83af9b9c6","Subject","False","False"
"CONTACT:7d404090863ede4f","Singpass","ACCOUNT:c138f7e7f39272e1","EMAIL:1b8f708da4b2027a","Subject","False","False"
"CONTACT:f6cc45c1bebb347a","Singpass","ACCOUNT:c138f7e7f39272e1","EMAIL:bf1d86e9876491ec","Subject","False","False"
"CONTACT:29e414bd5edd647a","Singpass","ACCOUNT:6427c7ba5bd71a3c","EMAIL:4719a4c86699e9b6","Approver","False","False"
"CONTACT:032f667d332642ab","Singpass","ACCOUNT:6427c7ba5bd71a3c","EMAIL:d308999a277311f1","Subject","False","False"
"CONTACT:66e03f53d2baeccd","Singpass","ACCOUNT:6427c7ba5bd71a3c","EMAIL:9c5294b0a9580116","Subject","False","False"
"CONTACT:f69fe67dadb5a101","Singpass","ACCOUNT:6427c7ba5bd71a3c","EMAIL:2f2063b65f83c659","Subject","False","False"
"CONTACT:bde4b73a9e212104","Singpass","ACCOUNT:6427c7ba5bd71a3c","EMAIL:eaf2874e710858d6","Subject","False","False"
"CONTACT:f0ea85836d5aef70","Singpass","ACCOUNT:be602bc241704caa","EMAIL:8aabd19d31eae3eb","Subject","False","False"
"CONTACT:c168f6ba38f1a1a4","Singpass","ACCOUNT:9a0f8bc21749ff7e","EMAIL:a4e50ed89939429d","Approver","False","False"
"CONTACT:3a8bc70e89c90a16","Singpass","ACCOUNT:b52d9048500f523e","EMAIL:3809398ab930b79f","Approver","False","False"
"CONTACT:77896a508897008a","Singpass","ACCOUNT:b52d9048500f523e","EMAIL:b2be2be195c778b2","Subject","False","False"
"CONTACT:34c740d8f0004d64","Singpass","ACCOUNT:821117f8e4925975","EMAIL:a5fc73262ba71d29","Approver","False","False"
"CONTACT:286f8e3de0c42f55","Singpass","ACCOUNT:d4516ea41c383503","EMAIL:5796b67384d59daa","Approver","False","False"
"CONTACT:85b5b5277e181cec","Singpass","ACCOUNT:aa513a3439eaf07c","EMAIL:240489e7dbaa03bc","Approver","False","False"
"CONTACT:c7fb42401a4f099a","Singpass","ACCOUNT:0f142a7ad5dfa70f","EMAIL:7ca63c91c0947e6f","Approver","False","False"
