Item_ID,Workstream,Component_Type,API_Name,File_Path,Action,Current_State,Target_State,Disposition,Runtime_Evidence,Dependency,Requirement,Design_Decision,Acceptance_Criteria,Deployment_Wave,Rollback,Notes
A03-001,A-IMP-03,CustomField,Account.Client_Code__c,force-app/main/default/objects/Account/fields/Client_Code__c.field-meta.xml,MODIFY,"FOUND: Text(255); required=false; unique=false; Chinese label","Approved label/help; required before onboarding; uniqueness only after remediation",RUNTIME GATED,"R01,R02,R03","Owner-approved Client Code remediation","A-REQ-001,A-REQ-014","A-DD-002,A-DD-007","A-WS03-AC01,A-WS03-AC18","Values/data/control","Restore prior XML and approved before-values","No automatic update"
A03-002,A-IMP-03,CustomField,Account.Client_Status__c,force-app/main/default/objects/Account/fields/Client_Status__c.field-meta.xml,MODIFY,"FOUND: Active,Inactive","Prospect,Onboarding,Active,Suspended,Terminated; retain Inactive until approved mapping",RUNTIME GATED,"R01,R03","Business-approved status mapping; A-IMP-04/05 dependencies","A-REQ-001,A-REQ-014","A-DD-002,A-DD-007","A-WS03-AC01,A-WS03-AC07,A-WS03-AC11,A-WS03-AC18","Values/data/control","Restore prior values and mapped data from approved backup","Existing Active is not automatically approved"
A03-003,A-IMP-03,CustomField,Account.Onboarding_Status__c,force-app/main/default/objects/Account/fields/Onboarding_Status__c.field-meta.xml,CREATE,"NOT FOUND","Restricted lifecycle picklist per controlled design",READY,"R10","A-IMP-08 FLS; A-IMP-11 page","A-REQ-014,A-REQ-016,A-REQ-017,A-REQ-024","A-DD-002,A-DD-005,A-DD-007,A-DD-010","A-WS03-AC03,A-WS03-AC07-A-WS03-AC12,A-WS03-AC15","Fields","Deactivate controls; remove only before business data exists","Build only after Manifest approval"
A03-004,A-IMP-03,CustomField,Account.Onboarding_Cycle__c,force-app/main/default/objects/Account/fields/Onboarding_Cycle__c.field-meta.xml,CREATE,"NOT FOUND","Number(3,0); system-maintained current cycle",READY,"R10","Approved start/idempotency design","A-REQ-014,A-REQ-016,A-REQ-017,A-REQ-024","A-DD-002,A-DD-005,A-DD-007,A-DD-010","A-WS03-AC02-A-WS03-AC05","Fields","Deactivate controls; preserve/export values","Build only after Manifest approval"
A03-005,A-IMP-03,CustomField,Account.Onboarding_Progress__c,force-app/main/default/objects/Account/fields/Onboarding_Progress__c.field-meta.xml,CREATE,"NOT FOUND","Percent(3,0); Flow-maintained mandatory completion percentage",HOLD,"R07,R10","Prove count-free calculation and concurrency","A-REQ-014","A-DD-002,A-DD-007","A-WS03-AC04,A-WS03-AC05","Fields","Deactivate synchronisation; restore values","Hold until idempotency/progress design is approved"
A03-006,A-IMP-03,CustomField,Account.Onboarding_Submitted_By__c,force-app/main/default/objects/Account/fields/Onboarding_Submitted_By__c.field-meta.xml,CREATE,"NOT FOUND","Lookup(User); maker stamped by controlled submission",RUNTIME GATED,"R09,R10","Approval feature and FLS","A-REQ-014,A-REQ-016,A-REQ-017","A-DD-005,A-DD-007,A-DD-010","A-WS03-AC07-A-WS03-AC10","Fields","Deactivate approval/Flow; preserve evidence","System-controlled"
A03-007,A-IMP-03,CustomField,Account.Onboarding_Submitted_At__c,force-app/main/default/objects/Account/fields/Onboarding_Submitted_At__c.field-meta.xml,CREATE,"NOT FOUND","DateTime; submission timestamp",RUNTIME GATED,"R10","Approval feature and FLS","A-REQ-014,A-REQ-016,A-REQ-017","A-DD-005,A-DD-007","A-WS03-AC08-A-WS03-AC10","Fields","Deactivate approval/Flow; preserve evidence","System-controlled"
A03-008,A-IMP-03,CustomField,Account.Onboarding_Approved__c,force-app/main/default/objects/Account/fields/Onboarding_Approved__c.field-meta.xml,CREATE,"NOT FOUND","Checkbox; authoritative downstream access gate",RUNTIME GATED,"R03,R09,R10","Approval feature; A-IMP-06 interface","A-REQ-014,A-REQ-016,A-REQ-017,A-REQ-024","A-DD-005,A-DD-007,A-DD-010","A-WS03-AC07-A-WS03-AC12","Fields","Disable downstream gate first; restore approved before-values","Never backfill automatically"
A03-009,A-IMP-03,CustomField,Account.Onboarding_Approved_By__c,force-app/main/default/objects/Account/fields/Onboarding_Approved_By__c.field-meta.xml,CREATE,"NOT FOUND","Lookup(User); final checker",RUNTIME GATED,"R09,R10","Named authorised approver","A-REQ-014,A-REQ-016,A-REQ-017","A-DD-005,A-DD-007,A-DD-010","A-WS03-AC09-A-WS03-AC11","Fields","Deactivate approval/Flow; preserve evidence","System-controlled"
A03-010,A-IMP-03,CustomField,Account.Onboarding_Approved_At__c,force-app/main/default/objects/Account/fields/Onboarding_Approved_At__c.field-meta.xml,CREATE,"NOT FOUND","DateTime; final approval timestamp",RUNTIME GATED,"R10","Approval feature","A-REQ-014,A-REQ-016,A-REQ-017","A-DD-005,A-DD-007","A-WS03-AC09-A-WS03-AC11","Fields","Deactivate approval/Flow; preserve evidence","System-controlled"
A03-011,A-IMP-03,CustomField,Account.Onboarding_Completed_At__c,force-app/main/default/objects/Account/fields/Onboarding_Completed_At__c.field-meta.xml,CREATE,"NOT FOUND","DateTime; final completion timestamp",RUNTIME GATED,"R10","Approval completion and A-IMP-06 gate","A-REQ-014,A-REQ-017","A-DD-007","A-WS03-AC11,A-WS03-AC12","Fields","Deactivate completion Flow; preserve evidence","System-controlled"
A03-012,A-IMP-03,StandardValueSet,Task.Type,force-app/main/default/standardValueSets/TaskType.standardValueSet-meta.xml,MODIFY,"FOUND: Call,Meeting,Other","Add Client Onboarding without changing ordinary Task behaviour",RUNTIME GATED,"R07,R12","Existing Task usage and post-A-IMP-02 diff","A-REQ-014","A-DD-002","A-WS03-AC02-A-WS03-AC06","Values","Migrate approved new-value Tasks before value removal","No Task Status change proposed"
A03-013,A-IMP-03,Flow,CBS_Start_Client_Onboarding,force-app/main/default/flows/CBS_Start_Client_Onboarding.flow-meta.xml,CREATE,"NOT FOUND","Eligibility checks; one cycle; exact checklist; durable fault evidence",HOLD,"R01-R05,R07,R10","Task-field amendments; idempotency; A-IMP-04/05 read-only prerequisites","A-REQ-014,A-REQ-016,A-REQ-017","A-DD-002,A-DD-005,A-DD-007","A-WS03-AC01-A-WS03-AC04,A-WS03-AC18","Automation","Deactivate Flow; reconcile partial Tasks/fields from approved backup","No activation until runtime gates close"
A03-014,A-IMP-03,Flow,CBS_Onboarding_Task_Synchronisation,force-app/main/default/flows/CBS_Onboarding_Task_Synchronisation.flow-meta.xml,CREATE,"NOT FOUND","Current-cycle Client Onboarding Task completion/progress synchronisation",HOLD,"R07,R10","Approved idempotency/concurrency mechanism and Task fields","A-REQ-014","A-DD-002,A-DD-007","A-WS03-AC04-A-WS03-AC06,A-WS03-AC22","Automation","Deactivate Flow; recompute from approved evidence","No ordinary/prior-cycle Task effects"
A03-015,A-IMP-03,Flow,CBS_Submit_Onboarding_Review,force-app/main/default/flows/CBS_Submit_Onboarding_Review.flow-meta.xml,CREATE,"NOT FOUND","MARK_READY/SUBMIT; revalidate evidence; stamp maker; invoke approval",RUNTIME GATED,"R04-R06,R09,R10","Approval feature; Contract/File evidence","A-REQ-014,A-REQ-016,A-REQ-017","A-DD-005,A-DD-007,A-DD-010","A-WS03-AC07-A-WS03-AC10","Automation","Deactivate Flow; recall/unlock approved test requests","No deployment/activation in Phase 1"
