Profile_API,Profile_Label,Scope_Category,Contact_Read,Master_Current,Master_Proposed,Client_User_Current,Client_User_Proposed,Data_Subject_Current,Data_Subject_Proposed,Non_Singpass_Current,Non_Singpass_Proposed,Singpass_Current,Singpass_Proposed,Changed_Assignment_Count,Disposition,Boundary,Draft_Status_At_Creation
Admin,System Administrator,INTERNAL_INTERACTIVE,true,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-CBS Contact - Client User Layout,Contact-CBS Contact - SingPass,Contact-CBS Contact - Data Subject Layout,Contact-CBS Contact - Non-SingPass,Contact-CBS Contact - Non-SingPass,Contact-CBS Contact - SingPass,Contact-CBS Contact - SingPass,2,PROPOSE_DEDICATED_INTERNAL_MAPPING,A-IMP-02 internal scope,PENDING_MANIFEST_APPROVAL
Analytics Cloud Integration User,Analytics Cloud Integration User,INTERNAL_INTEGRATION,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,Record Types hidden in Profile; verify effective Permission Set access,PENDING_MANIFEST_APPROVAL
Analytics Cloud Security User,Analytics Cloud Security User,INTERNAL_NONINTERACTIVE,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,Record Types hidden in Profile; verify effective Permission Set access,PENDING_MANIFEST_APPROVAL
Chatter External User,Chatter External User,EXTERNAL_BOUNDARY,false,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,External scope; no direct Contact access,RETAIN_AIMP09_BOUNDARY
Chatter Free User,Chatter Free User,NO_CONTACT_ACCESS,false,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,No direct Contact access,NO_CHANGE
Chatter Moderator User,Chatter Moderator User,NO_CONTACT_ACCESS,false,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,No direct Contact access,NO_CHANGE
Community Profile,Community Profile,EXPERIENCE_BOUNDARY,false,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,M021/A-IMP-09 Experience Cloud boundary,RETAIN_AIMP09_BOUNDARY
ContractManager,Contract Manager,INTERNAL_INTERACTIVE,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,A-IMP-02 internal scope,PENDING_MANIFEST_APPROVAL
CPQ Integration User,CPQ Integration User,INTERNAL_INTEGRATION,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,Record Types hidden in Profile; verify effective Permission Set access,PENDING_MANIFEST_APPROVAL
Customer Community Plus User,Customer Community Plus User,EXPERIENCE_BOUNDARY,true,Contact-CBS Contact - SingPass- Community User,Contact-CBS Contact - SingPass- Community User,Contact-CBS Contact - SingPass- Community User,Contact-CBS Contact - SingPass- Community User,Contact-CBS Contact - SingPass- Community User,Contact-CBS Contact - SingPass- Community User,Contact-CBS Contact - Non-SingPass - Community User,Contact-CBS Contact - Non-SingPass - Community User,Contact-CBS Contact - SingPass- Community User,Contact-CBS Contact - SingPass- Community User,0,RETAIN_CURRENT,M021/A-IMP-09; Client User external assignment unchanged,RETAIN_AIMP09_BOUNDARY
End User,End User,INTERNAL_INTERACTIVE,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,A-IMP-02 internal scope,PENDING_MANIFEST_APPROVAL
Executive Sponsor,Executive Sponsor,INTERNAL_INTERACTIVE,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,A-IMP-02 internal scope,PENDING_MANIFEST_APPROVAL
Guest License User,Guest License User,EXPERIENCE_BOUNDARY,false,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,Guest/Experience boundary; no direct Contact access,RETAIN_AIMP09_BOUNDARY
Identity User,Identity User,NO_CONTACT_ACCESS,false,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,No direct Contact access,NO_CHANGE
