draft_id,parent_manifest_id,component_type,api_name,action,current_state,proposed_target_state,disposition,approval_gate,dependencies,rollback
M018-P01,M018,Profile,Admin,Modify layoutAssignments,"Master=Data Subject Layout; Client_User=Client User Layout; Data_Subject=SingPass; Non_Singpass=Non-SingPass; Singpass=SingPass","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Exact matrix and Category B-I regression approval,M017|M018|M019,Restore exact current five-entry assignment set
M018-P02,M018,Profile,Analytics Cloud Integration User,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Effective Permission Set and integration-profile usage review,M017|M018|M019,Restore all five assignments to Contact Layout
M018-P03,M018,Profile,Analytics Cloud Security User,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Effective Permission Set and noninteractive-profile usage review,M017|M018|M019,Restore all five assignments to Contact Layout
M018-P04,M018,Profile,ContractManager,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Exact matrix and Category B-I regression approval,M017|M018|M019,Restore all five assignments to Contact Layout
M018-P05,M018,Profile,CPQ Integration User,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Effective Permission Set and integration-profile usage review,M017|M018|M019,Restore all five assignments to Contact Layout
M018-P06,M018,Profile,End User,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Exact matrix and Category B-I regression approval,M017|M018|M019,Restore all five assignments to Contact Layout
M018-P07,M018,Profile,Executive Sponsor,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Exact matrix and Category B-I regression approval,M017|M018|M019,Restore all five assignments to Contact Layout
M018-P08,M018,Profile,MarketingProfile,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Exact matrix and Category B-I regression approval,M017|M018|M019,Restore all five assignments to Contact Layout
M018-P09,M018,Profile,Read Only,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Exact matrix and read-only regression approval,M017|M018|M019,Restore all five assignments to Contact Layout
M018-P10,M018,Profile,Sales Insights Integration User,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Effective Permission Set and integration-profile usage review,M017|M018|M019,Restore all five assignments to Contact Layout
M018-P11,M018,Profile,SolutionManager,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Exact matrix and Category B-I regression approval,M017|M018|M019,Restore all five assignments to Contact Layout
M018-P12,M018,Profile,Standard,Modify layoutAssignments,"All five assignments=Contact Layout","Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",DRAFT_PENDING_APPROVAL,Exact matrix and Category B-I regression approval,M017|M018|M019,Restore all five assignments to Contact Layout
