"Pending_Approval_ID","Approval_Package","Account_ID","Masked_Account_Name","Current_Client_Status","Client_Code_Status","Active_External_Users","Recommended_Disposition","Selected_Policy_Decision","Required_Business_Decision","Evidence_Required","Business_Owner","Data_Owner","Approval_Status","Approval_Date","Implementation_Authorised","Blocking_Step"
"AP-03-H-0ccf5d877077f67a","AP-03","H-0ccf5d877077f67a","H-29538342505eff2d","Inactive","PRESENT_UNIQUE_IN_EXPORT","COUNT=1","HOLD_AND_REVIEW_EXTERNAL_ACCESS","APPROVED - DEACTIVATE ACCESS AND EXCLUDE","Choose: deactivate access and exclude; start a new onboarding cycle before reactivation; or approve a documented grandfather exception.","External access entitlement, historical approval, Contract/File evidence and named owner review.","陈财 / CBS系统负责人","陈财 / CBS系统负责人","APPROVED","2026-07-21","NO - PHASE 2 ONLY","Step 7 / Step 8 / Phase 2"
"AP-02-H-d6bd85274c8032d5","AP-02","H-d6bd85274c8032d5","H-d819fda883be2808","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","陈财 / CBS系统负责人","APPROVED","2026-07-21","NO - PHASE 2 ONLY","Step 7 / Step 8 / Phase 2"
"AP-02-H-35889e5d53941f64","AP-02","H-35889e5d53941f64","H-3f5f3ca0b02e4139","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","陈财 / CBS系统负责人","APPROVED","2026-07-21","NO - PHASE 2 ONLY","Step 7 / Step 8 / Phase 2"
"AP-02-H-1409fd68f6ca2e3b","AP-02","H-1409fd68f6ca2e3b","H-a1fb367eb6535a31","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","陈财 / CBS系统负责人","APPROVED","2026-07-21","NO - PHASE 2 ONLY","Step 7 / Step 8 / Phase 2"
"AP-02-H-7b908096a0b5a6aa","AP-02","H-7b908096a0b5a6aa","H-a1fb367eb6535a31","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","陈财 / CBS系统负责人","APPROVED","2026-07-21","NO - PHASE 2 ONLY","Step 7 / Step 8 / Phase 2"
"AP-02-H-01e0c466ba6cc9b3","AP-02","H-01e0c466ba6cc9b3","H-a1fb367eb6535a31","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","陈财 / CBS系统负责人","APPROVED","2026-07-21","NO - PHASE 2 ONLY","Step 7 / Step 8 / Phase 2"
"AP-02-H-c2f930a5eda152b4","AP-02","H-c2f930a5eda152b4","H-a1fb367eb6535a31","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","陈财 / CBS系统负责人","APPROVED","2026-07-21","NO - PHASE 2 ONLY","Step 7 / Step 8 / Phase 2"
"AP-02-H-292c575511bca201","AP-02","H-292c575511bca201","H-e522c6f129fdc285","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","陈财 / CBS系统负责人","APPROVED","2026-07-21","NO - PHASE 2 ONLY","Step 7 / Step 8 / Phase 2"
"AP-02-H-129d8825dce4576a","AP-02","H-129d8825dce4576a","H-8b64a8b3df266cf6","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","陈财 / CBS系统负责人","APPROVED","2026-07-21","NO - PHASE 2 ONLY","Step 7 / Step 8 / Phase 2"
"AP-02-H-9d49fefe10d3db30","AP-02","H-9d49fefe10d3db30","H-4fb01eb879f0b6fb","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","陈财 / CBS系统负责人","APPROVED","2026-07-21","NO - PHASE 2 ONLY","Step 7 / Step 8 / Phase 2"
