approval_id,parent_manifest_id,profile_api,profile_metadata_path,approved_assignment_changes,approved_target_mapping,effective_permission_set_review,experience_boundary,approval_date,status
M018-P01,M018,Admin,force-app/main/default/profiles/Admin.profile-meta.xml,2,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P02,M018,Analytics Cloud Integration User,force-app/main/default/profiles/Analytics Cloud Integration User.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P03,M018,Analytics Cloud Security User,force-app/main/default/profiles/Analytics Cloud Security User.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P04,M018,ContractManager,force-app/main/default/profiles/ContractManager.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P05,M018,CPQ Integration User,force-app/main/default/profiles/CPQ Integration User.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P06,M018,End User,force-app/main/default/profiles/End User.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P07,M018,Executive Sponsor,force-app/main/default/profiles/Executive Sponsor.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P08,M018,MarketingProfile,force-app/main/default/profiles/MarketingProfile.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P09,M018,Read Only,force-app/main/default/profiles/Read Only.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P10,M018,Sales Insights Integration User,force-app/main/default/profiles/Sales Insights Integration User.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P11,M018,SolutionManager,force-app/main/default/profiles/SolutionManager.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
M018-P12,M018,Standard,force-app/main/default/profiles/Standard.profile-meta.xml,4,"Master=Contact Layout; Client_User=Client User Layout; Data_Subject=Data Subject Layout; Non_Singpass=Non-SingPass; Singpass=SingPass",PASS,No Experience change,2026-07-20,APPROVED
