"证据ID","Org_ID","执行用户","执行时间","查询或检查","行数","Masked_Output_Path","完整受控文件路径","结论","风险等级","复核人","状态"
"R01","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T07:50:32.8208521Z","Contact counts","3","cursor-output/runtime-evidence/R01_Contact_Counts_MASKED.csv","NOT_RETAINED_BY_CURSOR","RESULTS_COLLECTED","信息","未指定","COLLECTED_PENDING_REVIEW"
"R02","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T07:50:37.6945110Z","Client User prohibited data","0","cursor-output/runtime-evidence/R02_Client_User_Prohibited_Data_MASKED.csv","NOT_RETAINED_BY_CURSOR","ZERO_ROWS","待复核","未指定","COLLECTED_PENDING_REVIEW"
"R03","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T07:50:42.4372003Z","Legacy Client Admin","0","cursor-output/runtime-evidence/R03_Legacy_Client_Admin_MASKED.csv","NOT_RETAINED_BY_CURSOR","ZERO_ROWS","信息","未指定","COLLECTED_PENDING_REVIEW"
"R04","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T07:50:47.1808380Z","Data Subject access fields","117","cursor-output/runtime-evidence/R04_Data_Subject_Access_Fields_MASKED.csv","NOT_RETAINED_BY_CURSOR","RESULTS_COLLECTED","待复核","未指定","COLLECTED_PENDING_REVIEW"
"R05","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T07:50:52.1303156Z","Duplicate Client Users","0","cursor-output/runtime-evidence/R05_Duplicate_Client_Users_MASKED.csv","NOT_RETAINED_BY_CURSOR","ZERO_ROWS","待复核","未指定","COLLECTED_PENDING_REVIEW"
"R06","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T07:50:55.8103124Z","Active request duplicates","0","cursor-output/runtime-evidence/R06_Active_Request_Duplicates_MASKED.csv","NOT_RETAINED_BY_CURSOR","ZERO_ROWS","待复核","未指定","COLLECTED_PENDING_REVIEW"
"R07","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T07:50:59.4762824Z","Linked external users","2","cursor-output/runtime-evidence/R07_Linked_External_Users_MASKED.csv","NOT_RETAINED_BY_CURSOR","RESULTS_COLLECTED","信息","未指定","COLLECTED_PENDING_REVIEW"
"R08","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T07:51:03.1603617Z","Legacy assignments","4","cursor-output/runtime-evidence/R08_Legacy_Assignments_MASKED.csv","NOT_RETAINED_BY_CURSOR","RESULTS_COLLECTED","信息","未指定","COLLECTED_PENDING_REVIEW"
"R09","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","","Setup checks","5","cursor-output/runtime-evidence/R09_setup_checklist.csv","NOT_APPLICABLE_NO_PII","R09-01 R09-03 R09-04 and R09-05 pass; R09-02 confirmed not applicable","信息","未指定","COLLECTED_COMPLETE_PENDING_REVIEW"
"R04-RERUN-01","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T09:09:57.3153811Z","Post-remediation Data Subject access fields","2","cursor-output/runtime-evidence/R04_post_remediation_20260720T090957Z_MASKED.csv","NOT_RETAINED_BY_CURSOR","FAIL_TWO_ROWS_REMAIN","P1","未指定","REMEDIATION_PARTIAL_STOP"
"R07-RERUN-01","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T09:10:01.0136611Z","Post-remediation linked external users","2","cursor-output/runtime-evidence/R07_post_remediation_20260720T091001Z_MASKED.csv","NOT_RETAINED_BY_CURSOR","FAIL_ONE_R04_OVERLAP","P1","未指定","REMEDIATION_PARTIAL_STOP"
"R08-RERUN-01","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T09:10:04.6601870Z","Post-remediation legacy assignments","4","cursor-output/runtime-evidence/R08_post_remediation_20260720T091004Z_MASKED.csv","NOT_RETAINED_BY_CURSOR","FAIL_UNCHANGED","P1","未指定","REMEDIATION_PARTIAL_STOP"
"R04-RERUN-02","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T09:19:32.9526799Z","Second post-remediation Data Subject access fields","0","cursor-output/runtime-evidence/R04_post_remediation_20260720T091932Z_MASKED.csv","NOT_RETAINED_BY_CURSOR","PASS_ZERO_ROWS_OWNER_APPROVED","信息","业务及隐私负责人（Cursor书面确认）","RC02_RESOLVED"
"R07-RERUN-02","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T09:19:36.6349019Z","Second post-remediation linked external users","2","cursor-output/runtime-evidence/R07_post_remediation_20260720T091936Z_MASKED.csv","NOT_RETAINED_BY_CURSOR","PASS_ZERO_R04_OVERLAP","信息","未指定","RC03_OVERLAP_RESOLVED"
"R08-RERUN-02","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T09:19:40.2718229Z","Second post-remediation legacy assignments","4","cursor-output/runtime-evidence/R08_post_remediation_20260720T091940Z_MASKED.csv","NOT_RETAINED_BY_CURSOR","APPROVED_RETENTION","信息","安全及数据负责人（Cursor书面确认）","RC04_RESOLVED"
"RC05-VERIFY-01","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T09:32:11.2054012Z","Portal Role Subject records and active picklist metadata","0","cursor-output/runtime-evidence/RC05_post_remediation_verification_20260720.md","NOT_RETAINED_BY_CURSOR","PASS_ZERO_ROWS_METADATA_MATCH","信息","技术复核","RC05_RESOLVED"
"R09-01","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T09:45:28.3894164Z","Contact history capacity and tracked fields","17","cursor-output/runtime-evidence/R09-01_contact_history_capacity_20260720.md","NOT_APPLICABLE_NO_PII","PASS_WITH_CONTROLLED_REPLACEMENT","信息","未指定","COLLECTED_PENDING_REVIEW"
"R09-02","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T10:05:40.2276907Z","Shield retention policy","","cursor-output/runtime-evidence/R09-02_shield_retention_20260720.md","NOT_APPLICABLE_NO_PII","PASS_NOT_APPLICABLE_ADMIN_CONFIRMED","信息","管理员（Cursor书面确认）","CONFIRMED_NOT_APPLICABLE"
"R09-03","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T10:05:51.1969824Z","CBS Processing Queue active membership","1","cursor-output/runtime-evidence/R09-03_cbs_processing_queue_20260720.md","NOT_APPLICABLE_NO_PII","PASS_ACTIVE_MEMBER","信息","未指定","COLLECTED_PASS_PENDING_REVIEW"
"R09-04","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T10:34:03.2192902Z","Case create permission and required FLS","9","cursor-output/runtime-evidence/R09-04_case_create_fls_20260720.md","NOT_APPLICABLE_NO_PII","PASS_CASE_CREATE_AND_FLS","信息","未指定","COLLECTED_PASS_PENDING_REVIEW"
"R09-05","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T10:38:30.9951495Z","Relevant licence and feature availability","3","cursor-output/runtime-evidence/R09-05_licence_feature_availability_20260720.md","NOT_APPLICABLE_NO_PII","PASS_LICENCE_AND_FEATURE_AVAILABILITY","信息","未指定","COLLECTED_PASS_PENDING_REVIEW"
"R06-CORRECTED-01","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T10:47:59.4488356Z","Corrected cross-status active request duplicates","0","cursor-output/runtime-evidence/R06_corrected_cross_status_20260720T104759Z_MASKED.csv","NOT_RETAINED_BY_CURSOR","PASS_ZERO_CROSS_STATUS_GROUPS","信息","规则经Cursor书面批准","RC07_RESOLVED"
"RC08-LAYOUT-EVIDENCE","00DBK00000C9kEP2AZ","","2026-07-20T10:54:00Z","Contact Page Layout list and assignment matrix","7","cursor-output/runtime-evidence/RC08_layout_assignment_verification_20260720.md","NOT_APPLICABLE_NO_PII","INTERNAL_MATRIX_APPROVED_COMMUNITY_LAYOUTS_RETAINED_AIMP09","信息","内部矩阵经Cursor书面批准","RC08_RESOLVED"
"M018-PS-REVIEW","00DBK00000C9kEP2AZ","cbsneworg@creditbureau.com.sg.chentest","2026-07-20T11:15:41.1375832Z","Relevant Permission Set effective Record Type access","0","cursor-output/final-approval-input/M018_permission_set_effective_access_review.md","NOT_APPLICABLE_NO_PII","PASS_NO_RELEVANT_ACTIVE_ASSIGNMENTS_IN_12_PROFILES","信息","12 Profile 46项草案经Cursor书面批准","INTERNAL_MATRIX_APPROVED"
