id,component_type,api_name,action,current_state,approved_target_state,phase2_disposition,activation_or_runtime_gate,traceability,dependencies,rollback
M001,CustomField,Contact.Full_Name__c,Modify,required=true; trackFeedHistory=true,Set required=false and trackFeedHistory=false. Retain for Data Subject processing. Deploy atomically with M009A-M009C so Data Subject controls remain scoped and active.,READY - implement after final Phase 2 approval,No separate gate if deployed in the same package as active scoped validation rules.,A-REQ-018; A-DD-003,M009A-M009C and regression tests,Restore prior field XML and validation package
M002,CustomField,Contact.ID_Type__c,Modify,required=true; trackFeedHistory=true,Set required=false and trackFeedHistory=false. Do not expose on Client User pages.,READY - implement after final Phase 2 approval,Deploy atomically with M009A-M009C.,A-REQ-018; A-DD-003,M008A; M009A-M009C,Restore prior field XML and validation package
M003,CustomField,Contact.ID_Number__c,Modify,required=true; trackFeedHistory=true,Set required=false and trackFeedHistory=false. Do not expose on Client User pages.,READY - implement after final Phase 2 approval,Deploy atomically with M009A-M009C.,A-REQ-018; A-DD-003,M008A; M009A-M009C,Restore prior field XML and validation package
M004,CustomField,Contact.Employment_Status__c,Modify,required=true; trackFeedHistory=true,Set required=false and trackFeedHistory=false. Retain only for Data Subject journeys.,READY - implement after final Phase 2 approval,Deploy atomically with M009A-M009C.,A-REQ-018; A-DD-003,M008C; M009A-M009C,Restore prior field XML and validation package
M005,CustomField,Contact.Portal_Role__c,Modify labels only,"Stored values HR, Approver and Client Admin; labels are generic",Retain stored API values HR and Approver; display labels Client HR User and Client Approver. Retain Client Admin globally as legacy until runtime inventory; remove it from Client_User record-type selection in M006.,READY - build now; activate/deploy only after runtime gate,Verify no integrations compare labels; inventory existing Client Admin values before record-type restriction.,A-REQ-007; A-DD-003,M006; read-only runtime query R03,Restore prior field XML and record-type XML
M006,RecordType,Contact.Client_User,Modify,"Portal_Role__c permits HR, Approver and Client Admin",Permit HR and Approver only for new Client User selection. Client Admin remains a legacy global value but is unavailable on this record type.,READY - build now; activate/deploy only after runtime gate,Runtime query R03 must identify existing Client_User records using Client Admin and assign a business disposition.,A-REQ-007; A-DD-003,M005; runtime remediation approval,Restore prior record-type XML
M007,ValidationRule,Contact.CBS_CU_Required_Core,Create inactive; activate in deployment wave,No Client User-specific core validation,"For Client_User require AccountId, FirstName, LastName and Email only. Department is optional. Portal_Role__c is not required at Contact level; it becomes mandatory only in the approved access-request/provisioning process when portal access is requested.",READY - implement after final Phase 2 approval,"Activate only after Client User dry-run query confirms no unresolved core-field gaps. Portal Role enforcement is deferred to access-governance implementation, not inferred from Is_Active_Client_User__c.",A-REQ-007; A-REQ-018; confirmed pre-Phase 2 decision,M029; later A-IMP-05/A-IMP-08 access governance,Deactivate/delete new rule
M008A,ValidationRule,Contact.CBS_CU_Prohibit_Identity_PII,Create inactive; activate after remediation approval,Client_User can store identity and MyInfo fields,"For Client_User block Birthdate, Date_of_Birth__c, DOB__c, NRIC_FIN_Number__c, Passport_Number__c, Pass_Type__c, ID_Type__c, ID_Number__c, Client_DOB_HMAC__c, Client_ID_HMAC__c, Composite_Match_HMAC__c, MyInfo_DOB_HMAC__c, MyInfo_ID_HMAC__c and MyInfo_Retrieval_Status__c.",READY - build now; activate/deploy only after runtime gate,Run R02 and obtain record-level owner approval. No automatic clearing or deletion.,A-REQ-018; A-DD-003; confirmed pre-Phase 2 decision,M029; approved remediation list,Deactivate rule; restore only approved data from backup if remediation occurred
M008B,ValidationRule,Contact.CBS_CU_Prohibit_Consent_Data,Create inactive; activate after remediation approval,Client_User can store consent/authentication fields,"For Client_User block Consent__c, Consent_Type__c, Consent_Start_Date__c, Consent_Expiry_Date__c, Current_Consent_Status__c, Latest_Consent_Status__c, Consent_Validity_Status__c, Consent_Revalidation_Status__c, Consent_Link_Generated_Date__c, Authentication_Status__c, Authentication_Type__c, Data_Subject_Lifecycle_Stage__c and Data_Subject_Action__c.",READY - build now; activate/deploy only after runtime gate,Run R02; classify mixed-purpose records before activation. No automatic record-type conversion.,A-REQ-018; A-DD-003; confirmed pre-Phase 2 decision,M029; Category B regression evidence,Deactivate rule; restore only approved data from backup if remediation occurred
M008C,ValidationRule,Contact.CBS_CU_Prohibit_Processing_Data,Create inactive; activate after remediation approval,"Client_User can store employment, report, departure and withdrawal processing fields","For Client_User block Employment_Status__c, CBS_Processing_Status__c, Delivery_Channel__c, Report_Delivery_Status__c, Report_Eligibility_Status__c, Report_Request_ID__c, Report_Request_Status__c, Report_Retrieval_Count__c, Report__c, Departure_Reason__c, Withdrawal_Status__c, Withdrawal_Source__c, Withdrawal_Date__c, Withdrawal_Date_Time__c and Withdrawal_Confirmation_Status__c.",READY - build now; activate/deploy only after runtime gate,Run R02; resolve any mixed-purpose records before activation.,A-REQ-018; A-DD-003; confirmed pre-Phase 2 decision,M029; Categories C-D regression evidence,Deactivate rule; restore only approved data from backup if remediation occurred
