条目ID(Item_ID),工作流(Workstream),组件类型(Component_Type),API名称(API_Name),文件路径(File_Path),动作(Action),当前状态(Current_State),目标状态(Target_State),处置(Disposition),运行时证据(Runtime_Evidence),依赖(Dependency),需求(Requirement),设计决定(Design_Decision),验收标准(Acceptance_Criteria),部署波次(Deployment_Wave),回滚(Rollback),备注(Notes)
A03-001,A-IMP-03,CustomField,Account.Client_Code__c,objects/Account/fields/Client_Code__c.field-meta.xml,MODIFY,Text(255)，非 unique、非 required、中文标签,统一英文标签与 help；onboarding 前 required；完成数据整改后再实施唯一性,RUNTIME GATED,"R01,R02,R03",Existing Account baseline,"A-REQ-001,014","A-DD-002,007","AC01,AC18",Data then control,恢复旧 field metadata 与 before-values,
A03-002,A-IMP-03,CustomField,Account.Client_Status__c,objects/Account/fields/Client_Status__c.field-meta.xml,MODIFY,Active、Inactive,Prospect、Onboarding、Active、Suspended、Terminated；停用 Inactive 前完成映射,RUNTIME GATED,"R01,R03",A-IMP-04/05 dependencies,"A-REQ-001,014","A-DD-002,007","AC01,AC07,AC11,AC18",Values then data then validation,恢复 prior value 并回滚数据映射,
A03-003,A-IMP-03,CustomField,Account.Onboarding_Status__c,objects/Account/fields/Onboarding_Status__c.field-meta.xml,CREATE,未找到,Picklist：Not Started、In Progress、Ready for Review、Pending Approval、Returned、Completed、Cancelled,TO_VALIDATE,R10,A-IMP-08 FLS；A-IMP-11 page,"A-REQ-014,016,017,024","A-DD-002,005,007,010","AC03,AC07-AC12,AC15",Fields,有数据后不得直接删除；先停用 controls,
A03-004,A-IMP-03,CustomField,Account.Onboarding_Cycle__c,objects/Account/fields/Onboarding_Cycle__c.field-meta.xml,CREATE,未找到,"Number(3,0)；系统维护 current cycle",TO_VALIDATE,R10,A-IMP-08 FLS；A-IMP-11 page,"A-REQ-014,016,017,024","A-DD-002,005,007,010",AC02-AC05,Fields,同上,
A03-005,A-IMP-03,CustomField,Account.Onboarding_Progress__c,objects/Account/fields/Onboarding_Progress__c.field-meta.xml,CREATE,未找到,"Percent(3,0)；Flow 维护 current mandatory completion percentage",TO_VALIDATE,R10,Progress formula / limits,A-REQ-014,"A-DD-002,007","AC04,AC05",Fields,停用 synchronisation Flow 并恢复值,
A03-006,A-IMP-03,CustomField,Account.Onboarding_Submitted_By__c,objects/Account/fields/Onboarding_Submitted_By__c.field-meta.xml,CREATE,未找到,Lookup(User)；系统写入 maker,TO_VALIDATE,"R09,R10",Approval feature,"A-REQ-014,016,017","A-DD-005,007,010",AC07-AC10,Fields,停用 approval / Flow,
A03-007,A-IMP-03,CustomField,Account.Onboarding_Submitted_At__c,objects/Account/fields/Onboarding_Submitted_At__c.field-meta.xml,CREATE,未找到,DateTime；系统写入 submission time,TO_VALIDATE,R10,Approval feature,"A-REQ-014,016,017","A-DD-005,007",AC08-AC10,Fields,停用 approval / Flow,
A03-008,A-IMP-03,CustomField,Account.Onboarding_Approved__c,objects/Account/fields/Onboarding_Approved__c.field-meta.xml,CREATE,未找到,Checkbox；authoritative access gate；仅最终 approval 写入,TO_VALIDATE,"R09,R10",A-IMP-06 access gate,"A-REQ-014,016,017,024","A-DD-005,007,010",AC07-AC12,Fields,停用 downstream gate 后恢复,
A03-009,A-IMP-03,CustomField,Account.Onboarding_Approved_By__c,objects/Account/fields/Onboarding_Approved_By__c.field-meta.xml,CREATE,未找到,Lookup(User)；approval 系统写入,TO_VALIDATE,"R09,R10",Approval feature,"A-REQ-014,016,017","A-DD-005,007,010",AC09-AC11,Fields,停用 approval / Flow,
A03-010,A-IMP-03,CustomField,Account.Onboarding_Approved_At__c,objects/Account/fields/Onboarding_Approved_At__c.field-meta.xml,CREATE,未找到,DateTime；approval 系统写入,TO_VALIDATE,R10,Approval feature,"A-REQ-014,016,017","A-DD-005,007",AC09-AC11,Fields,停用 approval / Flow,
A03-011,A-IMP-03,CustomField,Account.Onboarding_Completed_At__c,objects/Account/fields/Onboarding_Completed_At__c.field-meta.xml,CREATE,未找到,DateTime；最终批准时系统写入,TO_VALIDATE,R10,A-IMP-06 gate,"A-REQ-014,017",A-DD-007,"AC11,AC12",Fields,停用 completion Flow,
A03-012,A-IMP-03,StandardValueSet,Task.Type,standardValueSets/TaskType.standardValueSet-meta.xml,MODIFY,Call、Meeting、Other,新增 Client Onboarding；不得影响普通 Task,TO_VALIDATE,"R07,R12",Existing Task usage,A-REQ-014,A-DD-002,AC02-AC06,Values,移除新值前迁移相关 Task,
A03-013,A-IMP-03,Flow,CBS_Start_Client_Onboarding,flows/CBS_Start_Client_Onboarding.flow-meta.xml,CREATE,未找到,Screen Flow；前置校验、cycle、statuses、exact checklist、fault evidence,RUNTIME GATED,"R01-R05,R07,R10",A-IMP-04/05 read-only prerequisite,"A-REQ-014,016,017","A-DD-002,005,007","AC01-AC04,AC18",Automation,Deactivate Flow；恢复字段和 Task,
