matrix_row_id,category,category_status,controlled_business_process,manifest_traceability,prerequisite_data,test_steps,expected_result,owner_role,execution_mode,m030_test_classes,evidence_required,approval_status
B-01,B,IN_SCOPE,Client User consent separation,M012|M030,Client_User Record Type and Account exist,Create Client User with Account Name and Email; query CRI by Contact,Zero Consent_Request_Item__c records,Client Access Business Owner,AUTOMATED_M030,AImp02ContactSeparationTest,Apex test result and masked CRI count,PASS_AUTOMATED
B-02,B,IN_SCOPE,Data Subject family consent continuity,M012|M013A|M030,Data_Subject Singpass and Non_Singpass Record Types exist,Create one Contact per Record Type with complete identity and consent purpose; query CRI,Exactly one Pending CRI per Contact with correct purpose and snapshot,Consent Business Owner,AUTOMATED_M030,AImp02ContactSeparationTest,Apex test result and masked CRI extract,PASS_AUTOMATED
B-03,B,IN_SCOPE,Existing-hire and pre-hire upload role separation,M015|M016|M030,Partner Account and upload Record Types exist,Upload Existing Hire and Pre-hire rows; query created Contacts,Portal Role blank and Can Approve/Active Client User false,Consent Upload Business Owner,AUTOMATED_M030,BatchExcelUploadControllerTest,Apex test result and masked Contact extract,PASS_AUTOMATED
B-04,B,IN_SCOPE,Active consent request uniqueness,M013A|M013B|M013C|M013D,Corrected R06 result is zero,Resolve the same Contact Account and purpose twice while first CRI is Pending/Sent/Viewed,Existing active CRI is returned and no second active CRI is created,Consent Business Owner,AUTOMATED_M030,AImp02ContactSeparationTest,Apex test result and masked active-key query,PASS_AUTOMATED
B-05,B,IN_SCOPE,Terminal request preservation and new cycle,M013C|M013D,Existing terminal CRI,Resolve the same Contact Account and purpose after terminal status,Terminal CRI remains unchanged and one new Pending CRI is created,Consent Business Owner,AUTOMATED_M030,AImp02ContactSeparationTest,Apex test result and before/after IDs,PASS_AUTOMATED
B-06,B,IN_SCOPE,Consent state transitions,M030,Contact and active CRI exist,Execute declination and QR clearing rules,Contact and latest CRI reach approved states without unrelated field changes,Consent Business Owner,AUTOMATED_M030,ConsentStateTransitionServiceTest,Apex test result,PASS_AUTOMATED
B-07,B,IN_SCOPE,Sanitised Flow fault Case,M014|M030,CBS Processing Queue exists and supports Case,Invoke resolver with controlled invalid purpose to enter fault path,One High Problem Case owned by queue contains no identity DOB or MyInfo values,CBS Operations Owner,AUTOMATED_M030,AImp02ContactSeparationTest,Apex result and masked Case extract,PASS_AUTOMATED
B-08,B,IN_SCOPE,Internal Data Subject layout continuity,M018,Approved 12 Profile assignment matrix deployed,Open Data Subject Singpass and Non-Singpass records as internal user,Category B processing fields remain visible and client-access fields are absent,Salesforce Administrator,MANUAL_UAT,,Masked layout screenshots,APPROVED_EXCEPTION_EVIDENCE_WAIVED
C-01,C,IN_SCOPE,Eligible Data Subject account scoping,M030,Two Accounts each have requester subject and active consent,Load eligible subjects for Account A,Only Account A subjects are returned,Report Business Owner,AUTOMATED_M030,ExperienceClientDataIsolationTest,Apex test result,PASS_AUTOMATED
C-02,C,IN_SCOPE,Cross-account Report Request prevention,M030,Two Account fixture exists,Submit Account A request containing Account B subject,Submission is rejected and no cross-account item is created,Report Business Owner,AUTOMATED_M030,ExperienceClientDataIsolationTest,Apex test result,PASS_AUTOMATED
C-03,C,IN_SCOPE,Report Request Item consent eligibility,M030,Eligible and ineligible subjects exist,Insert and update Report Request Items including bulk mixed eligibility,Only eligible records succeed and status is stamped correctly,Report Business Owner,AUTOMATED_M030,ReportRequestItemTriggerHandlerTest,Apex test result,PASS_AUTOMATED
D-01,D,IN_SCOPE,Report processing lifecycle continuity,M009A|M018,Complete Data Subject in Processing and Report Fulfilment stages,Advance lifecycle and edit approved report-processing fields,Save succeeds and stage validation does not block complete records,Report Processing Owner,MANUAL_UAT,,Masked before/after Contact evidence,APPROVED_EXCEPTION_EVIDENCE_WAIVED
D-02,D,IN_SCOPE,Report Case account binding,M030,Account A requester and subject exist,Create valid Report Request Case,Case and Report Request Item remain bound to Account A,Report Processing Owner,AUTOMATED_M030,ExperienceClientDataIsolationTest,Apex test result,PASS_AUTOMATED
E-NA,E,NOT_APPLICABLE_APPROVED,Departure processing,OUTSIDE_A-IMP-02,Manifest contains no authorised Departure automation change,Review final candidate list and record N/A approval,No Departure component is changed by A-IMP-02,Departure Business Owner,SCOPE_REVIEW,,Written N/A approval,NOT_APPLICABLE_APPROVED
F-01,F,IN_SCOPE,Active request resolver reuse,M013D|M030,Existing Sent or Viewed CRI exists,Invoke approved resolver for same Contact Account and purpose,Resolver returns existing active request without creating or resending,Communications Business Owner,AUTOMATED_M030,AImp02ContactSeparationTest,Apex test result and CRI IDs,PASS_AUTOMATED
F-02,F,IN_SCOPE,Communication history boundary,M013D|CATEGORY_F,Existing communication history exists,Resolve active request and inspect communication history,No communication event is deleted or duplicated; resend remains Category F owned,Communications Business Owner,MANUAL_UAT,,Masked communication history extract,APPROVED_EXCEPTION_EVIDENCE_WAIVED
G-NA,G,NOT_APPLICABLE_APPROVED,Matching processing,OUTSIDE_A-IMP-02,Manifest contains no authorised matching automation change,Review final candidate list and record N/A approval,Matching implementation is unchanged by A-IMP-02,Matching Business Owner,SCOPE_REVIEW,,Written N/A approval,NOT_APPLICABLE_APPROVED
H-NA,H,NOT_APPLICABLE_APPROVED,Withdrawal journey,OUTSIDE_A-IMP-02,Manifest contains no authorised withdrawal journey change,Review final candidate list and record N/A approval,Withdrawal implementation is unchanged by A-IMP-02,Withdrawal Business Owner,SCOPE_REVIEW,,Written N/A approval,NOT_APPLICABLE_APPROVED
