"Assignee_Token","Permission_Set","Profile_Owned"
"H-49def32f244b12a8","CBS_Auditor_Read_Only","false"
"H-49def32f244b12a8","CBS_Break_Glass_Admin","false"
"H-49def32f244b12a8","CBS_Client_Approver","false"
"H-49def32f244b12a8","CBS_Client_HR_User","false"
"H-49def32f244b12a8","CBS_Implementation_Partner_Admin","false"
"H-49def32f244b12a8","CBS_Integration_User","false"
"H-f84429c05a493240","CBS_Integration_User_Permission","false"
"H-49def32f244b12a8","CBS_Integration_User_Permission","false"
"H-49def32f244b12a8","CBS_Processing_Officer","false"
"H-49def32f244b12a8","CBS_Security_Administrator","false"
"H-49def32f244b12a8","CBS_System_Administrator","false"
"H-f84429c05a493240","CBS_Transaction_Security_Admin","false"
