Profile_API,Profile_Label,Profile_Metadata_Path,Scope_Category,Master_Layout,Client_User_Layout,Data_Subject_Layout,Non_Singpass_Layout,Singpass_Layout,Contact_Read,Contact_Create,Contact_Edit,Contact_Delete,Contact_ViewAll,Contact_ModifyAll,Visible_Contact_Record_Types,Default_Contact_Record_Type,Active_User_Count,Evidence_Source
Admin,System Administrator,force-app/main/default/profiles/Admin.profile-meta.xml,INTERNAL_INTERACTIVE,Contact-CBS Contact - Data Subject Layout,Contact-CBS Contact - Client User Layout,Contact-CBS Contact - SingPass,Contact-CBS Contact - Non-SingPass,Contact-CBS Contact - SingPass,true,true,true,true,true,true,Client_User|Data_Subject|Non_Singpass|Singpass,Singpass,2,Sandbox assignment screenshots|Profile metadata|SOQL
Analytics Cloud Integration User,Analytics Cloud Integration User,force-app/main/default/profiles/Analytics Cloud Integration User.profile-meta.xml,INTERNAL_INTEGRATION,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,false,false,false,true,false,NONE,NONE,1,Sandbox assignment screenshots|Profile metadata|SOQL
Analytics Cloud Security User,Analytics Cloud Security User,force-app/main/default/profiles/Analytics Cloud Security User.profile-meta.xml,INTERNAL_NONINTERACTIVE,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,false,false,false,true,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
Chatter External User,Chatter External User,force-app/main/default/profiles/Chatter External User.profile-meta.xml,EXTERNAL_BOUNDARY,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,false,false,false,false,false,false,NONE,NONE,0,Profile metadata|SOQL
Chatter Free User,Chatter Free User,force-app/main/default/profiles/Chatter Free User.profile-meta.xml,NO_CONTACT_ACCESS,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,false,false,false,false,false,false,NONE,NONE,0,Profile metadata|SOQL
Chatter Moderator User,Chatter Moderator User,force-app/main/default/profiles/Chatter Moderator User.profile-meta.xml,NO_CONTACT_ACCESS,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,false,false,false,false,false,false,NONE,NONE,0,Profile metadata|SOQL
Community Profile,Community Profile,force-app/main/default/profiles/Community Profile.profile-meta.xml,EXPERIENCE_BOUNDARY,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,false,false,false,false,false,false,NONE,NONE,0,Profile metadata|SOQL
ContractManager,Contract Manager,force-app/main/default/profiles/ContractManager.profile-meta.xml,INTERNAL_INTERACTIVE,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,true,true,true,false,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
CPQ Integration User,CPQ Integration User,force-app/main/default/profiles/CPQ Integration User.profile-meta.xml,INTERNAL_INTEGRATION,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,false,false,false,true,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
Customer Community Plus User,Customer Community Plus User,force-app/main/default/profiles/Customer Community Plus User.profile-meta.xml,EXPERIENCE_BOUNDARY,Contact-CBS Contact - SingPass- Community User,Contact-CBS Contact - SingPass- Community User,Contact-CBS Contact - SingPass- Community User,Contact-CBS Contact - Non-SingPass - Community User,Contact-CBS Contact - SingPass- Community User,true,false,false,false,false,false,NONE,NONE,2,Sandbox assignment screenshots|Profile metadata|SOQL
