"Item_ID","API_Name","Disposition","Manifest_Approval_Status","Manifest_Approver","Manifest_Approval_Date","Build_Authorisation","Deployment_Authorisation","Activation_Authorisation"
"A03-001","Account.Client_Code__c","RUNTIME GATED","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL RUNTIME GATE CLOSES","NO","NO"
"A03-002","Account.Client_Status__c","RUNTIME GATED","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL RUNTIME GATE CLOSES","NO","NO"
"A03-003","Account.Onboarding_Status__c","READY","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","WAVE 1 INERT BUILD AUTHORISED","NO","NO"
"A03-004","Account.Onboarding_Cycle__c","READY","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","WAVE 1 INERT BUILD AUTHORISED","NO","NO"
"A03-005","Account.Onboarding_Progress__c","HOLD","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL AMENDMENT OR DECISION","NO","NO"
"A03-006","Account.Onboarding_Submitted_By__c","RUNTIME GATED","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL RUNTIME GATE CLOSES","NO","NO"
"A03-007","Account.Onboarding_Submitted_At__c","RUNTIME GATED","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL RUNTIME GATE CLOSES","NO","NO"
"A03-008","Account.Onboarding_Approved__c","RUNTIME GATED","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL RUNTIME GATE CLOSES","NO","NO"
"A03-009","Account.Onboarding_Approved_By__c","RUNTIME GATED","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL RUNTIME GATE CLOSES","NO","NO"
"A03-010","Account.Onboarding_Approved_At__c","RUNTIME GATED","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL RUNTIME GATE CLOSES","NO","NO"
"A03-011","Account.Onboarding_Completed_At__c","RUNTIME GATED","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL RUNTIME GATE CLOSES","NO","NO"
"A03-012","Task.Type","RUNTIME GATED","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL RUNTIME GATE CLOSES","NO","NO"
"A03-013","CBS_Start_Client_Onboarding","HOLD","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL AMENDMENT OR DECISION","NO","NO"
"A03-014","CBS_Onboarding_Task_Synchronisation","HOLD","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL AMENDMENT OR DECISION","NO","NO"
"A03-015","CBS_Submit_Onboarding_Review","RUNTIME GATED","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL RUNTIME GATE CLOSES","NO","NO"
"A03-016","CBS_Onboarding_Approval","HOLD","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL AMENDMENT OR DECISION","NO","NO"
"A03-P01","Account.Onboarding_Return_Reason__c","HOLD","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL AMENDMENT OR DECISION","NO","NO"
"A03-P02","Account.Onboarding_Cancel_Reason__c","HOLD","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL AMENDMENT OR DECISION","NO","NO"
"A03-P03","Task.Checklist_Item_Code__c; Task.Checklist_Sequence__c; Task.Is_Mandatory__c; Task.Onboarding_Cycle__c; Task.Evidence_Reference__c; Task.Completed_By__c; Task.Completed_At__c","HOLD","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL AMENDMENT OR DECISION","NO","NO"
"A03-P04","CBS_Onboarding_Return_Cancel","HOLD","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL AMENDMENT OR DECISION","NO","NO"
"A03-P05","CBS_Onboarding_Completion_Notification","HOLD","APPROVED IN MANIFEST SCOPE","陈财 / CBS系统负责人","2026-07-21","NOT AUTHORISED UNTIL AMENDMENT OR DECISION","NO","NO"
