"Profile","Employment_Status_Readable","Employment_Status_Editable","Full_Name_Readable","Full_Name_Editable","ID_Number_Readable","ID_Number_Editable","ID_Type_Readable","ID_Type_Editable","Risk","Recommended_Policy","Security_Owner_Decision","Metadata_Change_Authorised"
"Admin","true","true","true","true","true","true","true","true","LOW","KEEP_ADMIN_EDITABLE","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Analytics Cloud Integration User","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Analytics Cloud Security User","true","true","true","true","true","true","true","true","HIGH","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Chatter External User","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Chatter Free User","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Chatter Moderator User","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Community Profile","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"ContractManager","true","true","true","true","true","true","true","true","HIGH","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"CPQ Integration User","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Customer Community Plus User","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"End User","true","true","true","true","true","true","true","true","HIGH","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Executive Sponsor","true","true","true","true","true","true","true","true","HIGH","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Guest License User","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Identity User","true","true","true","true","true","true","true","true","HIGH","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"MarketingProfile","true","true","true","true","true","true","true","true","HIGH","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Minimum Access - API Only Integrations","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Minimum Access - Salesforce","true","true","true","true","true","true","true","true","HIGH","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Partner Portal Profile","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"PartnerCommunity Profile","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"PartnerCommunity Profile1779766427188","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"QR Code Site Profile","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Read Only","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Sales Insights Integration User","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Salesforce API Only System Integrations","true","true","true","true","true","true","true","true","CRITICAL","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"SolutionManager","true","true","true","true","true","true","true","true","HIGH","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
"Standard","true","true","true","true","true","true","true","true","HIGH","REMOVE_PROFILE_EDITABLE_USE_APPROVED_PERMISSION_SET_IF_REQUIRED","KEEP_SANDBOX_READABLE_EDITABLE_FLS","NO - PHASE 1"
