"Id","Name","Status","TotalLicenses","UsedLicenses"
"100d500000FP1uQAAT","Analytics Cloud Integration User","Active","2","1"
"100d500000FP1ubAAD","Chatter External","Active","500","0"
"100d500000FP1uWAAT","Chatter Free","Active","5000","0"
"100d500000FP1uVAAT","Cloud Integration User","Active","1","1"
"100d500000FP1ucAAD","CPQ Integration User","Disabled","0","0"
"100d500000HSsq5AAD","Customer Community Plus","Active","15","2"
"100d500000FP1udAAD","Guest User License","Active","25","4"
"100d500000FP1uaAAD","Identity","Active","100","0"
"100d500000FP1uZAAT","Sales Insights Integration User","Disabled","0","0"
"100d500000FP1uSAAT","Salesforce","Active","8","8"
"100d500000FP1uYAAT","Salesforce Integration","Active","5","0"
