evidence_id,matrix_row_id,org_id,executing_user,executed_at_utc,evidence_type,test_or_deploy_id,result,row_count_or_assertions,masked_artifact_path,notes
RC10-EV-01,B-01|B-02|B-04|B-05|B-07|F-01|I-01|I-02,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,2026-07-20T12:31:51Z,APEX_TEST,707BK00001B1HY3,PASS,6 methods,cursor-output/runtime-evidence/category-B-I/post_deploy_blocking_test_results.csv,AImp02 core scenarios
RC10-EV-02,B-03|I-03,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,2026-07-20T12:31:51Z,APEX_TEST,707BK00001B1HY3,PASS,42 methods,cursor-output/runtime-evidence/category-B-I/post_deploy_blocking_test_results.csv,Batch upload and role isolation
RC10-EV-03,B-06,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,2026-07-20T12:31:51Z,APEX_TEST,707BK00001B1HY3,PASS,2 methods,cursor-output/runtime-evidence/category-B-I/post_deploy_blocking_test_results.csv,Consent state transitions
RC10-EV-04,C-01|C-02|D-02,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,2026-07-20T12:31:51Z,APEX_TEST,707BK00001B1HY3,PASS,3 methods,cursor-output/runtime-evidence/category-B-I/post_deploy_blocking_test_results.csv,Account-scope isolation
RC10-EV-05,C-03,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,2026-07-20T12:31:51Z,APEX_TEST,707BK00001B1HY3,PASS,4 methods,cursor-output/runtime-evidence/category-B-I/post_deploy_blocking_test_results.csv,Report request eligibility
RC10-EV-06,RC11,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,2026-07-20T12:22:28Z,SANDBOX_UAT_APEX,707BK00001B0xaX,PASS,1 method,cursor-output/runtime-evidence/category-B-I/RC11_sandbox_uat_evidence_20260720.md,Two portal users on different Accounts confirmed
RC10-EV-07,E-NA|G-NA|H-NA,00DBK00000C9kEP2AZ,,2026-07-20T00:00:00Z,WRITTEN_SCOPE_APPROVAL,,NOT_APPLICABLE_APPROVED,3 categories,cursor-output/final-approval-input/category_B-I_owner_approval_register.csv,Approved by user representing corresponding owners
RC10-EV-08,RC10-DATA,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,2026-07-20T12:25:00Z,RUNTIME_SOQL,,APPROVED_RETAIN,4 historical Client User-linked CRIs,cursor-output/final-approval-input/Client_User_historical_CRI_disposition_approved.csv,Formal risk acceptance; no runtime data changed
RC10-EV-09,B-08|D-01|F-02|RC11-PAGE,00DBK00000C9kEP2AZ,,2026-07-20T12:41:00Z,WRITTEN_APPROVED_EXCEPTION,,EVIDENCE_WAIVED,4 rows,cursor-output/approval-package/03_approval_decisions.md,User representing all named owners and project owner
RC10-EV-10,RC10|RC11,00DBK00000C9kEP2AZ,,2026-07-20T12:41:00Z,PHASE2_WRITTEN_APPROVAL,,RESOLVED_APPROVED_EXCEPTION,2 risks,cursor-output/final-approval-input/RC10_RC11_closure_status_20260720.md,ChenTest implementation approved; Production not authorised
