"Account_ID","Masked_Account_Name","Current_Client_Status","Client_Code_Status","Closed_Won_Evidence","Contract_Evidence","Signed_File_Evidence","Existing_Onboarding_Tasks","Active_External_Users","Proposed_Target_Status","Baseline_Option","Evidence_To_Rebuild","Exception_Reason","Business_Owner","Decision","Approval_Date","Implementation_Status","Notes"
"H-0ccf5d877077f67a","H-29538342505eff2d","Inactive","PRESENT_UNIQUE_IN_EXPORT","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=1","PENDING BUSINESS DECISION","HOLD_AND_REVIEW_EXTERNAL_ACCESS","External access entitlement, historical approval, Contract/File evidence and named owner review.","","陈财 / CBS系统负责人","APPROVED - DEACTIVATE ACCESS AND EXCLUDE","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-d6bd85274c8032d5","H-d819fda883be2808","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-35889e5d53941f64","H-3f5f3ca0b02e4139","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-1409fd68f6ca2e3b","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-7b908096a0b5a6aa","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-01e0c466ba6cc9b3","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-c2f930a5eda152b4","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-292c575511bca201","H-e522c6f129fdc285","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-129d8825dce4576a","H-8b64a8b3df266cf6","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-9d49fefe10d3db30","H-4fb01eb879f0b6fb","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
