"Relative_Path","Original_Difference","Category","Disposition","Risk","Evidence","Required_Action","A_IMP_03_Source_Change_Authorised","Owner_Signoff"
"classes/AImp02ContactSeparationTest.cls","BASELINE_ONLY","EXPECTED_A_IMP_02_BASELINE_AHEAD","ACCEPTED - TARGETED RETRIEVE MATCHED BASELINE","LOW","The full-retrieve manifest omitted the A-IMP-02 addition. Targeted retrieve returned it and normalised content matched the branch baseline.","Add these A-IMP-02 members to the next full comparison manifest; no source change.","NO","NOT REQUIRED FOR A-IMP-03"
"classes/AImp02ContactSeparationTest.cls-meta.xml","BASELINE_ONLY","EXPECTED_A_IMP_02_BASELINE_AHEAD","ACCEPTED - TARGETED RETRIEVE MATCHED BASELINE","LOW","The full-retrieve manifest omitted the A-IMP-02 addition. Targeted retrieve returned it and normalised content matched the branch baseline.","Add these A-IMP-02 members to the next full comparison manifest; no source change.","NO","NOT REQUIRED FOR A-IMP-03"
"cleanDataServices/DataCloudGeoLocation.cleanDataService-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Standard/platform-managed metadata differs only by generated defaults or ordering.","Exclude from A-IMP-03 Manifest.","NO","NOT REQUIRED FOR A-IMP-03"
"flexipages/CBS_Client_User_Record_Page.flexipage-meta.xml","BASELINE_ONLY","EXPECTED_A_IMP_02_BASELINE_AHEAD","ACCEPTED - TARGETED RETRIEVE MATCHED BASELINE","LOW","The full-retrieve manifest omitted the A-IMP-02 addition. Targeted retrieve returned it and normalised content matched the branch baseline.","Add these A-IMP-02 members to the next full comparison manifest; no source change.","NO","NOT REQUIRED FOR A-IMP-03"
"flowDefinitions/contactApproveCreateConsentRequest.flowDefinition-meta.xml","CONTENT_CHANGED","SANDBOX_AHEAD_REQUIRES_BASELINE_UPDATE","DECIDED - ADOPT SANDBOX ACTIVE VERSION 6","HIGH","Only activeVersionNumber changed from 5 to 6 and the Flow body matches, but the FlowDefinition is REVIEW_ONLY/BLOCKED and cannot be copied automatically.","A-IMP-02 controlled baseline reconciliation to version 6, followed by A-IMP-03 rebase and R11/R12 rerun.","NO","DECISION CONFIRMED 2026-07-21; NAMED A-IMP-02 OWNER RECORD PENDING"
"flows/Consent_Request_Item_Maintain_Active_Key.flow-meta.xml","BASELINE_ONLY","EXPECTED_A_IMP_02_BASELINE_AHEAD","ACCEPTED - TARGETED RETRIEVE MATCHED BASELINE","LOW","The full-retrieve manifest omitted the A-IMP-02 addition. Targeted retrieve returned it and normalised content matched the branch baseline.","Add these A-IMP-02 members to the next full comparison manifest; no source change.","NO","NOT REQUIRED FOR A-IMP-03"
"flows/ConsentRequestResolveActiveRequest.flow-meta.xml","BASELINE_ONLY","EXPECTED_A_IMP_02_BASELINE_AHEAD","ACCEPTED - TARGETED RETRIEVE MATCHED BASELINE","LOW","The full-retrieve manifest omitted the A-IMP-02 addition. Targeted retrieve returned it and normalised content matched the branch baseline.","Add these A-IMP-02 members to the next full comparison manifest; no source change.","NO","NOT REQUIRED FOR A-IMP-03"
"labels/CustomLabels.labels-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Git comparison showed the same labels and values reordered by retrieve.","Ignore element ordering; retain controlled baseline.","NO","NOT REQUIRED FOR A-IMP-03"
"layouts/Contact-Contact Layout.layout-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX LAYOUT STATE","HIGH","Sandbox removed four identity fields/mini-layout entries that remain Required in the branch baseline; this was not an approved shared-layout change.","A-IMP-02 controlled as-built update removing the four identity fields from the shared layout/mini-layout; A-IMP-03 must not edit it directly.","NO","DECISION CONFIRMED 2026-07-21; NAMED A-IMP-02 OWNER RECORD PENDING"
"networks/Partner Portal.network-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Comparison found generated default action overrides/order only, with no business or activation-state change.","Do not import Experience Cloud runtime ordering/default metadata.","NO","NOT REQUIRED FOR A-IMP-03"
"networks/PartnerCommunity.network-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Comparison found generated default action overrides/order only, with no business or activation-state change.","Do not import Experience Cloud runtime ordering/default metadata.","NO","NOT REQUIRED FOR A-IMP-03"
"objects/BatchJobPart/BatchJobPart.object-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Standard/platform-managed metadata differs only by generated defaults or ordering.","Exclude from A-IMP-03 Manifest.","NO","NOT REQUIRED FOR A-IMP-03"
"objects/Consent_Request_Item__c/fields/Active_Request_Key__c.field-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Sandbox added explicit default tags such as trackTrending=false and encryptionScheme=None.","Do not modify A-IMP-03 source; retain A-IMP-02 ownership.","NO","NOT REQUIRED FOR A-IMP-03"
"objects/Consent_Request_Item__c/fields/Consent_Purpose__c.field-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Sandbox added explicit default tags such as trackTrending=false and encryptionScheme=None.","Do not modify A-IMP-03 source; retain A-IMP-02 ownership.","NO","NOT REQUIRED FOR A-IMP-03"
"objects/Order/Order.object-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Standard/platform-managed metadata differs only by generated defaults or ordering.","Exclude from A-IMP-03 Manifest.","NO","NOT REQUIRED FOR A-IMP-03"
"objects/Quote/Quote.object-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Standard/platform-managed metadata differs only by generated defaults or ordering.","Exclude from A-IMP-03 Manifest.","NO","NOT REQUIRED FOR A-IMP-03"
