"Account_ID","Current_Client_Status","Client_Code_Status","Active_External_Users","Recommended_Disposition","Recommendation_Rationale","Required_Business_Decision","Evidence_Required","Business_Owner","Owner_Decision","Approval_Date","Implementation_Authorised"
"H-0ccf5d877077f67a","Inactive","PRESENT_UNIQUE_IN_EXPORT","COUNT=1","HOLD_AND_REVIEW_EXTERNAL_ACCESS","Inactive Account has an active external User but no Opportunity, Contract, File or onboarding Task evidence.","Choose: deactivate access and exclude; start a new onboarding cycle before reactivation; or approve a documented grandfather exception.","External access entitlement, historical approval, Contract/File evidence and named owner review.","陈财 / CBS系统负责人","APPROVED - DEACTIVATE ACCESS AND EXCLUDE","2026-07-21","NO - PHASE 2 ONLY"
"H-d6bd85274c8032d5","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-35889e5d53941f64","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-1409fd68f6ca2e3b","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-7b908096a0b5a6aa","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-01e0c466ba6cc9b3","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-c2f930a5eda152b4","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-292c575511bca201","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-129d8825dce4576a","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-9d49fefe10d3db30","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
